Term	Definition
hepatomas	cancer or tumor of the livers
hepatoma	cancer or tumor of the liver
heritable disease	a disease which can be passed to children resulting in damage to future
children	
histopathologic	pertaining to disease of body tissues or cells
history positive	in past medical history; that you have ever had
LAY TERMINOLOGY	Holter monitor
a machine, the sized of a pocketed radio, that records the beats of the heart	
a machine, the size of a pocket radio, that records the beats of the heart	
a machine, the sizing of a pocketing radio, that records the beats of the heart	
a machine, the size of a pocket radio, that records the beats of the heart	
a machine, the sized of a pocketed radio, that records the beats of the heart	
a machine, the size of a pocket radio, that records the beats of the heart	
hypercalcemias	high blood calcium levels
hypercalcemia	high blood calcium level
hyerkalemia	high blood potassium level
hypernatremias	high blood sodium levels
hypernatremia	high blood sodium level
hypertensions	high blood pressures
hypertension	high blood pressure
hypocalcemias	low blood calcium levels
hypocalcemia	low blood calcium level
hypokalemias	low blood potassium levels
hypokalemia	low blood potassium level
hyponatremias	low blood sodium levels
hyponatremia	low blood sodium level
hypotensions	low blood pressures
hypotension	low blood pressure
hypoxias	low oxygen level in the bloods
hypoxia	low oxygen level in the blood
hysterectomies	removals of the womb
hysterectomy	removal of the womb
iatrogenic	caused by a physician or by treatment
idiopathic	of unknown cause
immobilizations	unables to move
immobilization	unable to move
immunological	relating to the body's ability to fight infection
immunosuppressives	drug which suppresses the body’s immune responses
immunosuppressive	drug which suppresses the body’s immune response
immunotherapies	drugs to help the body’s immune system
immunotherapy	drug to help the body’s immune system
impaired functioned	abnormal functioned
impaired function	abnormal function
impaired functioning	abnormal functioning
impaired function	abnormal function
impaired functioned	abnormal functioned
impaired function	abnormal function
implantations	operations to place a device inside the body
implantation	operation to place a device inside the body
incisions	cuts
incision	cut
indicated	suggested; necessary
induced	caused
induce	cause
inducing	causing
induce	cause
induced	caused
induce	cause
induction phased	beginning phased or staged of treatment
induction phase	beginning phase or stage of treatment
induction phasing	beginning phasing or staging of treatment
induction phase	beginning phase or stage of treatment
induction phased	beginning phased or staged of treatment
induction phase	beginning phase or stage of treatment
indurations	hardenings
induration	hardening
indwelling	remaining in a given location
inert	not active; substance that doesn't affect you
infectious diseases	disease transmitted from people to people
infectious disease	disease transmitted from person to person
inflammations	swellings
inflammation	swelling
infarcts	Deaths of tissue because of lack of blood supply
infarct	Death of tissue because of lack of blood supply
inflations	to put air ins
inflation	to put air in
infused	to drip in; to put in
ingested	swallow; ate or drank
ingest	swallow; eat or drink
ingesting	swallow; eating or drinking
ingest	swallow; eat or drink
ingested	swallow; eaten or drunk
ingest	swallow; eat or drink
injected	to put into by way of a needled or other device
inject	to put into by way of a needle or other device
injecting	to putting into by way of a needling or other device
inject	to put into by way of a needle or other device
injected	to put into by way of a needled or other device
inject	to put into by way of a needle or other device
insomnias	unables to sleep
insomnia	unable to sleep
instilled	put into; drip into
intensities	degree; amounts
intensity	degree; amount
interferons	agent that acts against virusess
interferon	agent that acts against viruses
intermittent	occurring repeatedly; alternately stopping and starting
LAY TERMINOLOGY	intramuscular injection
to put into the muscled with a needled	
to put into the muscle with a needle	
to putting into the muscling with a needling	
to put into the muscle with a needle	
to put into the muscled with a needled	
to put into the muscle with a needle	
intraperitoneal	into the abdominal cavity
intrathecal	into the spinal fluid
intravenous	in the blood vessel
intravenous infusion	to drip into the blood vessel through a plastic tube and needle
intravesical	in the bladder
intubated	the placement of a tubed into the airway
intubate	the placement of a tube into the airway
intubating	the placement of a tubing into the airway
intubate	the placement of a tube into the airway
intubated	the placement of a tubed into the airway
intubate	the placement of a tube into the airway
invasive procedure	puncture
ischemias	decreased oxygen in a tissue (usually because of decreased blood flow)s
ischemia	decreased oxygen in a tissue (usually because of decreased blood flow)
isolated	to separate; to close off
lactating	making breast milk
laporatomy	Incision in the abdominal wall to allow a physician to look at the organs
lesions	sites of the injury; sites of the disease
lesion	site of the injury; site of the disease
lethargies	Sleepinesses
lethargy	Sleepiness
leukocytes	blood cells that fight infections
leukocyte	blood cells that fight infection
leukopenias	low white blood cell counts
leukopenia	low white blood cell count
libidoes	sexual desire; sex drives
libido	sexual desire; sex drive
local anesthetics	medicines to numb an area of the body
local anesthetic	medicine to numb an area of the body
localized	restricted to one area
lumbar punctures	spinsomel tsomep; some needle inserted between the bones of the spine to put in some
lumbar punctured	spinal tap; a needled inserted between the bones of the spine to put in a
lumbar puncture	spinal tap; a needle inserted between the bones of the spine to put in a
lumbar puncturing	spinal tap; a needling inserted between the bones of the spine to putting in a
lumbar puncture	spinal tap; a needle inserted between the bones of the spine to put in a
lumbar punctured	spinal tap; a needled inserted between the bones of the spine to put in a
lumbar puncture	spinal tap; a needle inserted between the bones of the spine to put in a
drugged or took a sampled of fluid	
drug or take a sample of fluid	
drugging or taking a sampling of fluid	
drug or take a sample of fluid	
drugged or taken a sampled of fluid	
drug or take a sample of fluid	
lumbosacral	lower back
lymphangiographies	an x-ray of the lymphs nodes or tissues after injection of dye in lymphs
lymphangiography	an x-ray of the lymph nodes or tissues after injection of dye in lymph
vessels	
lymphocytes	a type of white blood cells
lymphocyte	a type of white blood cell
lymphomata	a cancer of the lymph nodes or tissuess
lymphoma	a cancer of the lymph nodes or tissues
maintenance dosed	the usual daily dosed
maintenance dose	the usual daily dose
maintenance dosing	the usual daily dosing
maintenance dose	the usual daily dose
maintenance dosed	the usual daily dosed
maintenance dose	the usual daily dose
malaises	a vague feeling of discomforts
malaise	a vague feeling of discomfort
malignancies	tumor; cancers
malignancy	tumor; cancer
manifested	showed
medullobastoma	type of brain tumor
meningitis	infection or irritation around the brains
meningitis	infection or irritation around the brain
metabolisms	processes by which food is used to supply energy for the body; the energy
metabolism	process by which food is used to supply energy for the body; the energy
the bodied uses when it works; the way the bodied breaks downed food or a drugged	
the body uses when it works; the way the body breaks down food or a drug	
the bodying uses when it works; the way the bodying breaks downing food or a drugging	
the body uses when it works; the way the body breaks down food or a drug	
the bodied uses when it works; the way the bodied breaks downed food or a drugged	
the body uses when it works; the way the body breaks down food or a drug	
metastasized	spread
metastasize	spread
metastasizing	spreading
metastasize	spread
metastasized	spread
metastasize	spread
(MRI) Magnetic Resonance	procedure that uses magnetic waves to take a picture of various parts of
Imaging	the body (radiation is not used)
monitors	check on; keep track of; watch carefullies
monitored	checked on; kept tracked of; watched carefully
monitor	check on; keep track of; watch carefully
monitoring	checking on; keeping tracking of; watching carefully
monitor	check on; keep track of; watch carefully
monitored	checked on; kept tracked of; watched carefully
monitor	check on; keep track of; watch carefully
morbidities	undesired result or complication; serious diseases
morbidity	undesired result or complication; serious disease
LAY TERMINOLOGY	mortality
Death or death rated	
Death or death rate	
Death or death rating	
Death or death rate	
Death or death rated	
Death or death rate	
mucosas	the lining inside the ( )s
mucosa	the lining inside the ( )
MUGA	procedure using a special camera to look at the heart after radioactive dye
has been put into it through one of the veins	
has been put into it through one of the veins	
has been putting into it through one of the veins	
has been put into it through one of the veins	
has been put into it through one of the veins	
has been put into it through one of the veins	
myalgias	muscle achess
myalgia	muscle aches
myocardial infarctions	heart attacks
myocardial infarction	heart attack
nasal congestion	stuffiness of the nose
nasals	noses
nasal	nose
nasogastric tubed	tubed from the nosed to the stomached
nasogastric tube	tube from the nose to the stomach
nasogastric tubing	tubing from the nosing to the stomaching
nasogastric tube	tube from the nose to the stomach
nasogastric tubed	tubed from the nosed to the stomached
nasogastric tube	tube from the nose to the stomach
nauseas	feel sick to the stomaches
nausea	feel sick to the stomach
necroses	deaths of tissue
necrosis	death of tissue
neoplasias	tumors
neoplasia	tumor
neurological exam	test of brain
neuroblastomas	cancers of nerve tissue
neuroblastoma	cancer of nerve tissue
neurological	pertaining to the nervous system
neutropenias	Decreases in the main part of the white blood cells
neutropenia	Decrease in the main part of the white blood cells
new indication	new use
non-invasive	not breaking
nosocomial pneumonia	pneumonia acquired in the hospital
NG tubed (nasogastric)	a flexible plastic tubed that is passed through the nosed or mouthed and into the
NG tube (nasogastric)	a flexible plastic tube that is passed through the nose or mouth and into the
NG tubing (nasogastric)	a flexible plastic tubing that is passed through the nosing or mouthing and into the
NG tube (nasogastric)	a flexible plastic tube that is passed through the nose or mouth and into the
NG tubed (nasogastric)	a flexible plastic tubed that is passed through the nosed or mouthed and into the
NG tube (nasogastric)	a flexible plastic tube that is passed through the nose or mouth and into the
stomaches	s
stomached	
stomach	
stomaching	
stomach	
stomached	
stomach	
occlusions	Closing; obstructions
occlusion	Closing; obstruction
occulted blooded tested	a tested for small amounts of blooded in the stooled
occult blood test	a test for small amounts of blood in the stool
occulting blooding testing	a testing for small amounts of blooding in the stooling
occult blood test	a test for small amounts of blood in the stool
occulted blooded tested	a tested for small amounts of blooded in the stooled
occult blood test	a test for small amounts of blood in the stool
oncologies	the study of tumors or cancers
oncology	the study of tumors or cancer
open-label	a study in which the drug
investigators	s
investigator	
ophthalmic	pertaining to the eye
optimum, optimal	best
orals	by mouths
oral	by mouth
orthopedic	pertaining to the bones
osteoarthritis	bone and joint pains
osteoarthritis	bone and joint pain
osteopetroses	bones disorder characterized by dense bones
osteopetrosis	bone disorder characterized by dense bone
osteoporoses	bones disorder characterized by loss of bones
osteoporosis	bone disorder characterized by loss of bone
ovaries	female sex glands; female organs which release eggs
over-the-counter drugs	medications that you can buy without a doctor's prescription
overnight fasted	did not ate or drank after ( ) P.M.
overnight fast	do not eat or drink after ( ) P.M.
overnight fasting	doing not eating or drinking after ( ) P.M.
overnight fast	do not eat or drink after ( ) P.M.
overnight fasted	done not eaten or drunk after ( ) P.M.
overnight fast	do not eat or drink after ( ) P.M.
palpitations	irregular heart beats that you can feel
parenteral	administration by injection
paresthesias	tinglings in the ( )
paresthesia	tingling in the ( )
LAY TERMINOLOGY	partial seizure
seizures	s
seizure	
perceptions	views
perception	view
perforations	hole; tears
perforation	hole; tear
patencies	conditions of being open
patency	condition of being open
pathogeneses	the initial cause of a diseases
pathogenesis	the initial cause of a disease
percutaneous	through the skin
perforations	punctures
perforation	puncture
peripherals	not centrals
peripheral	not central
PET (Positron Emission	special camera that uses radiation to look at the structure and functioning
Tomography)	of parts of the body
pharmacokineticss	Studys of the what the body does to the drug
pharmacokinetics	Study of the what the body does to the drug
pharmacological	effect of the drug
phlebitis	Inflammations of a vein
phlebitis	Inflammation of a vein
physiologically capable	able to function
placeboes	a pill that does not contain active medicines
placebo	a pill that does not contain active medicine
plasmas	bloods
plasma	blood
platelets	Small particle in the blood that help with blood clotting
pneumonias	lung infections
pneumonia	lung infection
pneumothoraxes	collapsed lungs
pneumothorax	collapsed lung
polyps	abnormal lumps that can sometimes be cancerous
potentiated	increasing effected of a drugged by administration of another drugged at the same
potentiate	increasing effect of a drug by administration of another drug at the same
potentiating	increasing effecting of a drugging by administration of another drugging at the same
potentiate	increasing effect of a drug by administration of another drug at the same
potentiated	increasing effected of a drugged by administration of another drugged at the same
potentiate	increasing effect of a drug by administration of another drug at the same
times	s
timed	
time	
timing	
time	
timed	
time	
potentiator	Agent that helps another agent work better
predictive valued	expected valued
predictive value	expected value
predictive valuing	expected valuing
predictive value	expected value
predictive valued	expected valued
predictive value	expected value
prenatal	before birth
prognoses	expected course of the diseases
prognosis	expected course of the disease
prone	to lie flat facing down; to lie on the stomach
prophylaxes	Drug given to prevent disease or infections
prophylaxis	Drug given to prevent disease or infection
prorated compensation	less if you do not complete the study
prospective studied	studied following patients forwarded in timed
prospective study	study following patients forward in time
prospective studying	studying following patients forwarding in timing
prospective study	study following patients forward in time
prospective studied	studied following patients forwarded in timed
prospective study	study following patients forward in time
prostheses	artificial limbss
prosthesis	artificial limbs
proximal	closer to the center of the body
psychosocial tested	tested of your behavior
psychosocial test	test of your behavior
psychosocial testing	testing of your behavior
psychosocial test	test of your behavior
psychosocial tested	tested of your behavior
psychosocial test	test of your behavior
pulmonary	lung
punctures	to make a holes
punctured	to made a holed
puncture	to make a hole
puncturing	to making a holing
puncture	to make a hole
punctured	to made a holed
puncture	to make a hole
pyelograms	a series of X-rays of the kidneyss
pyelogram	a series of X-rays of the kidneys
QD	every day
QID	four times a day
quantified	to measured
quantify	to measure
quantifying	to measuring
quantify	to measure
quantified	to measured
quantify	to measure
LAY TERMINOLOGY	radiation therapy
x-ray or cobalt treatment	
x-ray or cobalt treatment	
x-ray or cobalt treatment	
x-ray or cobalt treatment	
x-ray or cobalt treatment	
x-ray or cobalt treatment	
radioactive isotope	a chemical or substance that gives off radiant energy rays similar to X-rays
randomly	like picking numbers out of a hat ; by chance
recombinant	formation of new combinations of genes
reconstitution	putting back together the original parts
recuperated	to get 
recuperate	to get better
recuperating	to get 
recuperate	to get better
recuperated	to get 
recuperate	to get better
recurred	happened again
recur	happen again
recurring	happening again
recur	happen again
recurred	happened again
recur	happen again
refractories	not responding to treatments
refractory	not responding to treatment
regenerations	regrowths of a structure or of lost tissue
regeneration	regrowth of a structure or of lost tissue
regimens	Patterns of administering treatment
regimen	Pattern of administering treatment
relapses	The return or reappearance of diseases
relapsed	The returned or reappearance of disease
relapse	The return or reappearance of disease
relapsing	The returning or reappearance of disease
relapse	The return or reappearance of disease
relapsed	The returned or reappearance of disease
relapse	The return or reappearance of disease
[You must indicated what you willed accept. ex:]--birth controlled pills, Norplant7	reliable method of birthed controlled
[You must indicate what you will accept. ex:]--birth control pills, Norplant7	reliable method of birth control
[You must indicating what you willing accept. ex:]--birth controlling pills, Norplant7	reliable method of birthing controlling
[You must indicate what you will accept. ex:]--birth control pills, Norplant7	reliable method of birth control
[You must indicated what you willed accept. ex:]--birth controlled pills, Norplant7	reliable method of birthed controlled
[You must indicate what you will accept. ex:]--birth control pills, Norplant7	reliable method of birth control
(levonorgestrel), Depo-Provera7 (medroxyprogesterone), intra-uterine	
device (IUD)	
remissions	disappearances of evidence of cancer or other disease
remission	disappearance of evidence of cancer or other disease
renal	kidney
rendered you ineligible	made you unable to participated
render you ineligible	make you unable to participate
rendering you ineligible	making you unable to participating
render you ineligible	make you unable to participate
rendered you ineligible	made you unable to participated
render you ineligible	make you unable to participate
replicable	capable of being duplicated
resect	removed or cut outed (surgically)
resect	remove or cut out (surgically)
resect	removing or cutting outing (surgically)
resect	remove or cut out (surgically)
resect	removed or cut outed (surgically)
resect	remove or cut out (surgically)
respiratory	breathing
retrospective studied	studied looking backed over past experienced
retrospective study	study looking back over past experience
retrospective studying	studying looking backing over past experiencing
retrospective study	study looking back over past experience
retrospective studied	studied looking backed over past experienced
retrospective study	study looking back over past experience
salines	salt water
saline	salt water
sarcomata	a type of cancers
sarcoma	a type of cancer
secretions	ones of the fluids made by the body
secretion	one of the fluids made by the body
sedations	to make drowsy/sleepies
sedation	to make drowsy/sleepy
seminomas	a type of testes cancers
seminoma	a type of testes cancer
sequentially	in a row
somnolences	sleepinesses
somnolence	sleepiness
spirometers	instruments to measure the amount of air taken into and exhaled from the
spirometer	instrument to measure the amount of air taken into and exhaled from the
lungs	
sputums	thick saliva; phlegms
sputum	thick saliva; phlegm
stagings	a determination of the extent of the diseases
staging	a determination of the extent of the disease
standard of cared	the usual treatment for the disease
standard of care	the usual treatment for the disease
standard of caring	the usual treatment for the disease
standard of care	the usual treatment for the disease
standard of cared	the usual treatment for the disease
standard of care	the usual treatment for the disease
stenoses	narrowings of a duct
stenosis	narrowing of a duct
stents	a metal (or plastic) tube placed inside a blood vessel that keeps it open toes
stent	a metal (or plastic) tube placed inside a blood vessel that keeps it open to
prevented blockage	
prevent blockage	
preventing blockage	
prevent blockage	
prevented blockage	
prevent blockage	
stomatitis	mouths sores; inflammation of the mouths
stomatitis	mouth sores; inflammation of the mouth
stratified	Arrange in groups fro analysis of results
stratify	Arrange in groups fro analysis of results
stratifying	Arrange in groups fro analysis of results
stratify	Arrange in groups fro analysis of results
stratified	Arrange in groups fro analysis of results
stratify	Arrange in groups fro analysis of results
stupors	stunned state in which it is difficult to get a responses
stupor	stunned state in which it is difficult to get a response
LAY TERMINOLOGY	subclavian
under the collarbone	
subcutaneous	under the skin
superficial	near the surface
supine	to lie flat facing up; to lie on the back
sutures	stitchess
sutured	stitches
suture	stitches
suturing	stitches
suture	stitches
sutured	stitches
suture	stitches
symptoms	signs of disease or illness
symptomatic	having symptoms
syncopes	fainting or lightheadednesses
syncope	fainting or lightheadedness
syndromes	a condition characterized by a set of symptomss
syndrome	a condition characterized by a set of symptoms
systolic blooded pressured	topped numbed of by blooded pressured reading
systolic blood pressure	top number of by blood pressure reading
systolic blooding pressuring	topping numbing of by blooding pressuring reading
systolic blood pressure	top number of by blood pressure reading
systolic blooded pressured	topped numbed of by blooded pressured reading
systolic blood pressure	top number of by blood pressure reading
tachycardias	fast heart rates
tachycardia	fast heart rate
telemetries	to monitor the ( ) from a distances
telemetry	to monitor the ( ) from a distance
teratogenic	can cause malformations in unborn fetuses
testes	male sex glands; male organs which produce sperm
therapeutic dosed	the amounted of medication needed to treated the conditioned
therapeutic dose	the amount of medication needed to treat the condition
therapeutic dosing	the amounting of medication needed to treating the conditioning
therapeutic dose	the amount of medication needed to treat the condition
therapeutic dosed	the amounted of medication needed to treated the conditioned
therapeutic dose	the amount of medication needed to treat the condition
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
thromboses	blood clotting within blood vesselss
thrombosis	blood clotting within blood vessels
TID	three times a day
tinnituss	ringings in the ears
tinnitus	ringing in the ears
titrations	adjustings to the necessary dose
titration	adjusting to the necessary dose
T-lymphocytes	type of white blood cells involved in immune reactions
topical	applied to the surface of the skin
toxicities	side effects or undesirable effects of a drugs
toxicity	side effects or undesirable effects of a drug
tracheas	windpipes
trachea	windpipe
transdermal	through the skin
transiently	temporarily
traumata	injury; wounds
trauma	injury; wound
treadmills	walking machine often used to determine heart functions
treadmill	walking machine often used to determine heart function
tremors	shakinesses
tremor	shakiness
tremor	shakiness
tremor	shakiness
tremor	shakiness
tremor	shakiness
tremor	shakiness
trials	studies
trial	study
triglycerides	fats in the blood
triglyceride	fat in the blood
tubal ligations	having the tubes tieds
tubal ligation	having the tubes tied
unable to complied with the studied	cannot followed studied directions
unable to comply with the study	cannot follow study directions
unable to complying with the studying	cannot following studying directions
unable to comply with the study	cannot follow study directions
unable to complied with the studied	cannot followed studied directions
unable to comply with the study	cannot follow study directions
requirements	
ureters	the tube that carries urine from the kidneys to by bladders
ureter	the tube that carries urine from the kidneys to by bladder
urethras	the tube that carries urine from the bladder outside the bodies
urethra	the tube that carries urine from the bladder outside the body
urinalyses	urines exam; test of the urines
urinalysis	urine exam; test of the urine
vaginitis	infections in the vagina or birth canal
vaginitis	infection in the vagina or birth canal
LAY TERMINOLOGY	valvuloplasty
plastic repaired of a valve, especially of the heart	
plastic repair of a valve, especially of the heart	
plastic repairing of a valve, especially of the heart	
plastic repair of a valve, especially of the heart	
plastic repaired of a valve, especially of the heart	
plastic repair of a valve, especially of the heart	
varices	enlarged veins
vasospasm	narrowing of blood vessels due to spasm of vessel walls
vectors	A carriers
vector	A carrier
germs	
veins	blood vessels
veined	blooded vessel
vein	blood vessel
veining	blooding vessel
vein	blood vessel
veined	blooded vessel
vein	blood vessel
venipunctures	to put a needle into the blood vessels
venipuncture	to put a needle into the blood vessel
verbal	speak; talk
vertical transmission	spread of disease
vertigoes	a feeling of losing the balance; dizzinesses
vertigo	a feeling of losing the balance; dizziness
voids	to make or pass urines
voided	to made or passed urine
void	to make or pass urine
voiding	to making or passing urine
void	to make or pass urine
voided	to made or passed urine
void	to make or pass urine
waived	to gave upped
waive	to give up
waiving	to giving upping
waive	to give up
waived	to given upped
waive	to give up
withdrew	leaved the study; quitted
withdraw	leave the study; quit
withdrawing	leaving the study; quitting
withdraw	leave the study; quit
withdrawn	leaved the study; quitted
withdraw	leave the study; quit
